exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,GRT,4/27/2006,16.87,17,16.87,17,17500,3.75
NYSE,GCH,1/31/2008,10.59,10.76,10.08,10.19,190000,4.73
NYSE,GWW,4/27/2012,54.7,57.09,54.6,56.07,453200,49.1
NYSE,GGG,11/29/2001,22.75,22.75,22.62,22.62,29600,1.17
NYSE,GWW,5/22/1998,53.43,55.12,53,54.91,361600,9.7
NYSE,GLT,4/9/2007,14.08,14.19,13.75,14.19,16500,8.53
NYSE,GMT,3/28/2019,20.38,20.61,19.67,19.97,1448400,19.37
NYSE,GMA,4/30/2015,20.61,20.67,20.15,20.24,64100,11.89
NYSE,GJW,12/8/2019,1.62,1.62,1.59,1.59,4500,1.59
NYSE,GAJ,1/23/2011,16.81,17.69,16.81,17.5,18500,6.77
NYSE,GRA,6/13/2002,7.98,8,7.83,7.95,217500,4.13
NYSE,GFW,10/13/2018,13,14,12.9,13.25,6200,11.48
NYSE,GDO,12/7/2019,20.01,20.02,20,20.02,8000,19.89
NYSE,GYB,2/5/2017,23.76,23.92,23.75,23.87,7500,19.49
NYSE,GDI,10/15/2009,12.12,12.12,11,11.12,70400,5.56
NYSE,GWR,2/5/2018,26.92,27.62,26.62,27.11,156700,27.11
NYSE,GR,4/2/2012,32.16,32.49,31.88,32.15,456100,25.67
NYSE,GDF,5/10/2013,13.1,13.15,12.97,13.1,22600,6.87
NYSE,GTY,3/15/2007,20.12,20.62,20.12,20.5,24700,5.78
NYSE,GJK,4/3/2016,24.54,24.54,24.5,24.5,10000,20.61
NYSE,GHL,11/22/2019,83.41,83.91,82.52,82.88,201000,82.42
NYSE,GG,5/25/2013,11.25,11.35,11.01,11.07,2478900,10.41
NYSE,GR,10/12/2006,39.58,39.8,39.46,39.58,38600,26.47
NYSE,GE,12/9/2001,66.25,67,65.87,66.62,14818800,3.47
NYSE,GIB,11/21/2019,12.15,12.46,12.15,12.4,119400,12.4
NYSE,GT,7/27/1992,23.5,23.75,23.25,23.25,78000,5.79
NYSE,GGC,2/20/2003,18.52,18.52,17.82,17.93,18900,358.13
NYSE,GPW,6/24/2018,23.23,23.54,23.23,23.54,2600,21.52
NYSE,GSI,1/29/2016,1.73,1.85,1.7,1.85,101000,1.85
NYSE,GBL,1/20/2018,58.1,60.73,57.34,60.29,107100,59.95
NYSE,GBX,8/19/2017,28.4,29.18,28.22,29.06,161700,28.09
NYSE,GPC,2/4/1994,25.79,26.17,25.19,26.17,171100,1.85
NYSE,GRR,6/12/2016,15.65,17.07,15.2,17,90600,13.94
NYSE,GET,3/22/2009,24.27,24.52,24.21,24.52,14400,24.04
NYSE,GPS,1/20/2001,39,39.5,39,39.25,3762400,2.42
NYSE,GSK,4/6/2006,24.5,24.62,24.37,24.37,404500,15.3
NYSE,GMK,1/5/2020,7.83,8.44,7.83,8.26,67900,8.26
NYSE,GJB,1/5/2015,24.87,25.25,24.87,25.25,5600,18.42
NYSE,GJH,10/30/2016,9.72,9.72,9.72,9.72,0,7.19
NYSE,GLF,8/9/2015,26.8,28.23,26.67,28.13,136500,28.13
NYSE,GLW,7/26/2010,250.25,253,226.5,232.75,18800100,74.74
NYSE,GR,10/24/2014,30.45,30.85,30.21,30.75,1109400,27.83
NYSE,GBL,9/22/2011,31.43,34.9,31.43,34.78,75700,33.05
NYSE,GMT,12/4/1998,34.96,35.12,34.88,35.12,162000,3.65
NYSE,GFI,4/19/2013,11,11.24,10.9,11.07,2019200,10.12
NYSE,GPU,3/30/2018,25.81,25.82,25.18,25.31,13700,22.49
NYSE,GDP,4/7/2002,3,3,2.88,3,600,24
NYSE,GXP,6/9/2003,24,24.12,24,24.12,25200,8.82
NYSE,GR,12/12/1997,21.64,22.49,21.64,22.49,726000,4.47
NYSE,GDI,7/20/2009,20.25,21.75,20,21.12,83400,10.55
NYSE,GF,7/2/2016,12.7,12.7,12.41,12.5,31300,11.57
NYSE,GPW,10/13/2019,25.12,25.12,25.02,25.08,1800,24.72
NYSE,GJJ,12/2/2017,22.51,22.51,22.5,22.5,200,20.85
NYSE,GJX,7/8/2019,24.75,25.21,24.74,25.21,1600,24.35
NYSE,GGB,1/7/2010,28.56,29.19,28.56,29.19,51200,0.79
NYSE,GUI,10/27/2013,25.35,25.45,25.15,25.3,18900,17.82
NYSE,GAB,6/25/2000,4.35,4.35,4.3,4.3,52400,0.24
NYSE,GE,5/19/2014,30.31,30.69,30.31,30.65,21917300,24.95
NYSE,GWW,6/12/2015,54.78,55.18,54.48,55.16,585000,50.73
NYSE,GTY,3/15/2019,14.63,16.8,14.63,16.8,402100,15.35
NYSE,GFW,12/23/2013,25.22,25.28,25.1,25.28,30900,15.2
NYSE,GDP,8/24/2003,2.25,2.25,2.13,2.13,10200,17
NYSE,GJJ,5/29/2016,24.3,24.3,24.3,24.3,0,20.66
NYSE,GET,4/29/2013,20.7,21.52,20.51,21.52,77500,21.52
NYSE,GWF,8/29/2016,23.23,23.33,23.19,23.23,8500,18.36
NYSE,GBB,2/23/2019,38.96,38.96,38.96,38.96,0,38.96
NYSE,GIM,10/6/2006,5.28,5.46,5.28,5.37,314500,1.61
NYSE,GVA,5/23/2014,18.99,19.39,18.9,19.32,237200,17.96
NYSE,GMK,1/7/2019,2,2.07,2,2.04,13700,2.04
NYSE,GGB,6/5/2010,12.25,12.25,12.25,12.25,0,0.67
NYSE,GE,12/15/2011,37.8,38.85,37.7,38.3,26715900,29.27
NYSE,GMR,9/21/2012,8,8,7.5,7.5,37900,2.77
NYSE,GBX,8/19/2012,6.35,6.35,6.25,6.25,8600,5.85
NYSE,GXP,2/28/2000,33.25,33.63,33.13,33.5,207600,4.89
NYSE,GT,1/15/2004,47.5,49.25,47.5,49.13,792200,37.82
NYSE,GG,1/12/2009,6.25,6.25,6.25,6.25,0,2.83
NYSE,GGG,2/16/2014,42.15,42.46,41.81,41.86,131400,23.54
NYSE,GDI,6/13/2015,38.15,38.43,37.66,38.3,220000,19.13
NYSE,GGG,4/21/2007,24.37,24.5,24.12,24.37,363500,3.69
NYSE,GG,7/3/2016,30.89,31.52,30.36,31.28,5625600,30.62
NYSE,GY,5/12/2000,4.01,4.1,4.01,4.1,39600,0.14
NYSE,GR,12/3/2017,73,74.39,72.87,74.14,1179300,71.15
NYSE,GRT,4/5/2014,23.2,24.31,23.2,24.26,493700,12.66
NYSE,GCS,9/2/2016,16.17,16.27,16.11,16.25,60500,5.76
NYSE,GUQ,6/22/2017,23.24,23.24,23.1,23.11,700,19.79
NYSE,GPK,1/24/2019,0.98,1.05,0.96,1.04,200800,1.04
NYSE,GED,1/9/2020,23.72,23.86,23.71,23.75,40500,23.75
NYSE,GLW,10/22/2009,69.75,69.75,68.06,68.75,1191900,22
NYSE,GR,4/27/2006,35.14,35.47,35.14,35.25,71600,23.2
NYSE,GRA,11/11/2000,4.54,4.81,4.54,4.78,387100,1.87
NYSE,GCV,8/2/2014,10.1,10.24,10.06,10.1,3300,6.06
NYSE,GKM,11/9/2014,25.04,25.06,24.99,25,37700,13.82
NYSE,GAJ,12/25/2010,10.81,11.06,10.56,10.62,28100,3.97
NYSE,GEC,4/21/2013,25.82,25.99,25.78,25.81,62700,16.98
NYSE,GTC,12/2/2018,131.37,131.37,124.08,126.03,0,126.03
NYSE,GNI,8/27/2000,19.65,19.65,19.65,19.65,100,1.67
NYSE,GEF,9/26/2019,53.75,55.06,53.38,54.71,244300,54.32
NYSE,GMR,11/5/2016,34.96,35.58,34.77,35.45,376700,15.78
NYSE,GPC,6/17/1994,16.73,16.8,15.89,16.19,152600,1.77
NYSE,GSK,10/19/2001,48.88,49.38,48.63,49.13,1904600,12.91
NYSE,GHL,12/11/2016,71.26,72.7,71.17,71.92,95900,66.9
NYSE,GRA,7/31/2017,20.65,20.79,19.85,20.03,1034800,20.03
NYSE,GVA,4/18/2016,51.1,51.65,50.51,51.29,291500,49.06
NYSE,GR,7/27/2018,47.28,50.92,47.28,50.76,2844300,49.06
NYSE,GIS,9/12/2002,58.16,59.06,57.86,58.56,592000,17.54
NYSE,GNW,7/12/2014,22.9,23.3,22.68,22.79,1535400,21.33
NYSE,GPS,7/15/2004,40.88,41.75,40.75,41.5,2189700,5.29
